,business_id,name,price,status_1,status_2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,status
116,fXtghpVhkqHFSAYAM9_c-Q,Black Sushi,,1.0,,,,,,,,,,,1.0
117,hXMnuwm60BJLTajbQOgPxA,Lineage Cafe and Bakery,1.0,1.0,,,,,,,,,,,5.0
118,yvtDKxx903GUoBfceWeM3Q,Smashburger,1.0,6.0,,,,,,,,,,,6.0
119,RcEe2lFNUNWPOvVNwMSSNQ,Five Guys,1.0,,,,,,,,,,,,6.0
120,LZCAiMzWUgKNIaVkGUhfMQ,Storybook Dining at Artist Point with Snow White,,1.0,,,,,,,,,,,1.0
121,cJEzd3rtlu9OuKqc6BT4eg,Eight Spoon Cafe,1.0,1.0,,,,,,,,,,,1.0
122,H63xAmWD0QWeWza8h7-tCQ,Momaâ€™s Unwind Cafe,,,,,,,,,,,,,1.0
123,fA2r7v51ntxx0b4762snKw,Spyglass Grill,,1.0,,,,,,,,,,,1.0
124,wep83l7JG9EoD68C_tRZZA,Juicy Bites,1.0,,,,,,,,,,,,1.0
125,KKPMh2G6wwLJg4RjRo8tUw,Taco Bell,1.0,,,,,,,,,,,,6.0
126,5h7QCyZTbFzV9cYge6spyg,P's VietMi Cafe,2.0,,,,,,,,,,,,1.0
127,2oPqD_plmEO2s2gA73QJLg,Marco's Pizza,1.5,,,,,,,,,,,,6.0
128,lFJ78Os-Qqmu14bnn4OoCg,The Diner,,,,,,,,,,,,,1.0
129,0OXtB0tO_UmyzDtFp1yHew,Little Greek Fresh Grill,,,,,,,,,,,,,1.0
130,IuUsh5LtphnOy-B7430tqw,Ok China Restaurant,,1.0,,,,,,,,,,,1.0
131,B3olk00WbONts0Ii6HO1YQ,East Wok,1.0,,,,,,,,,,,,5.0
132,sABkw7aHQnoBvkvL6ogLKg,Bento Asian Kitchen + Sushi,2.0,,,,,,,,,,,,6.0
133,Jk3GtWDxpbSSNa-myR7kkw,Cool Wash,1.0,,,,,,,,,,,,1.0
134,E3z36xFxfls73kG0ir_kAg,K-Town Cafe,,,,,,,,,,,,,1.0
135,VwV8tvklgCtCMZrRS4juDg,Market Express 2,1.0,,,,,,,,,,,,5.0
136,fmYnDENkymrJlYzzHgSoaQ,The Steer Pioneer Steakhouse,,1.0,,,,,,,,,,,1.0
137,O3Lb2cyQBXFJ4xQOf41pig,MrBeast Burger,1.0,,,,,,,,,,,,1.0
138,3ibcduhJO7ZsA7l_JRC7nQ,Romano's Macaroni Grill,2.0,,,,,,,,,,,,6.0
140,SOeFa6TA9kdprtiRve4ZfQ,Cocina Coqueta,,1.0,,,,,,,,,,,1.0
141,xjQoxwJrcpnr29frNP_whw,Barbeque Boyz,,1.0,,,,,,,,,,,1.0
142,TwZBliQKD4BfnVynwWH_Wg,Fritanga La Nueva,,,,,,,,,,,,,1.0
143,g79r4TJqaI8GhOkvYCSCvA,Wingstop,,6.0,,,,,,,,,,,1.0
144,_lZ4Uet74bSQ-K3FTKz5LA,Tomasino's Pizza,1.0,6.0,,,,,,,,,,,6.0
145,smJopq86VMeY6eyHUaa9ZA,Consumable Moments,1.0,,,,,,,,,,,,1.0
146,YBe8hMEDwz2xEBD38o4X_g,Spicy Girl,,,,,,,,,,,,,1.0
148,XARkRUJPTrAbtRIc3m8gew,The Juicy Crab,2.0,6.0,,,,,,,,,,,6.0
149,ELycvTZaOc25h7Ka2TCjzA,Wingstop,,6.0,,,,,,,,,,,1.0
150,z2lgLss9xsvS8txE8x-0kA,Orlando Pizza and Deli,1.0,,,,,,,,,,,,5.0
151,QbpDway89HOQi2xZzLtuIg,Real New York Pizza,,1.0,,,,,,,,,,,1.0
152,P_9Jsb4fO9JfDhUW36WVBw,Nam Giao Deli,1.0,,,,,,,,,,,,5.0
153,rxp31AtWSWl7O1csO9YYeA,Clean Juice Dr. Phillips,,,,,,,,,,,,,1.0
154,FBpF92DRCaZOxDuqwnsZ_w,Cafe Express Homestyle,1.0,,,,,,,,,,,,5.0
155,ZgqcO8DlWXZ2pG1gF2xHDw,StreetWise Urban Food,,,,,,,,,,,,,1.0
156,eHZu7KW5cDt4OR1p312uQw,Thai Express,1.0,,,,,,,,,,,,5.0
157,9wDshQ11NH1vCDVoWwqp6Q,C & L Provisions,1.0,,,,,,,,,,,,1.0
158,qW9vR2ubWxIVDTWQTZGLBA,Maracaibo Mia Son y SazÃ³n,,1.0,,,,,,,,,,,1.0
159,LkyRB9vvF-ZQBVKVqonLyw,Marco's Pizza,,6.0,,,,,,,,,,,1.0
160,aTOzbyEhJldJ5t_rQsRSnQ,Route 65,,1.0,,,,,,,,,,,1.0
162,14RAYQbPEpulJATtlrxcVA,La Casita Pupusas & Latin Food,,,,,,,,,,,,,1.0
163,1JF_-oGX_Yf7e9eak2wpLg,Le House Vietnamese Restaurant,,,,,,,,,,,,,1.0
164,VnBvxTkNTYP4u7iMqxwxug,Chickpeas Fresh Mediterranean Kitchen,,,,,,,,,,,,,1.0
165,K7GnPoRp8iLbikUYgfg4bQ,The Licking,2.0,,,,,,,,,,,,1.0
166,ffILOF9bNIdYeEs4mDz7xQ,Sus Hi Eatstation,1.0,6.0,,,,,,,,,,,6.0
167,dPcUeqsSeyH8LdJa3pJvdA,Adventureland Egg Roll Wagon,,1.0,,,,,,,,,,,1.0
168,j1ppD8MgOu3NmZMWlyFeYQ,Pho Huong Lan,,1.0,,,,,,,,,,,1.0
169,CGM1pxz6Pjdsr3d5WoEUQw,Tu Cocina Latina,,1.0,,,,,,,,,,,1.0
170,7P0o2BrmW6fn63DvnehNHw,Justins Caribbean Fusion Restaurant,,,,,,,,,,,,,1.0
171,hkdtQy4hnTk9ycbVpps2oQ,Maki of Japan,,1.0,,,,,,,,,,,1.0
172,PRm63Y-59hy_TlPhxkRkaw,Roys Grill & Lounge,,,,,,,,,,,,,1.0
173,MB9K5j-wX2tXcnyQYpD-cQ,Baanchan Thai Restaurant,,,,,,,,,,,,,1.0
174,l4tnYY9j0v-2nZgChN47zw,Beach Break Cafe,,1.0,,,,,,,,,,,1.0
175,ebZu9Ch0EaLYwqqqEx80Vg,Coconuts Poolside Bar & Grill,,,,,,,,,,,,,1.0
176,F749P3vP458kb5WEmXubZw,Hand Roll Sushi,2.0,,,,,,,,,,,,6.0
178,02pKIq_NXopo77IJHSUcRg,Wendy's,1.0,,,,,,,,,,,,6.0
179,0v1xolmsmBhadlKSIWNyIQ,PCG Artisanal Burgers,1.0,,,,,,,,,,,,1.0
180,Xegn3beI3Dd7dMRIe1P8YA,King Cajun Crawfish | Dr Phillips,,,,,,,,,,,,,1.0
182,dIXaQvgdznlNv5wcifGNJw,Urban Pantry,,1.0,,,,,,,,,,,1.0
184,WH8P-z7QAmp5MR_b_s9Ftg,Charleys Philly Steaks & Wings,1.0,,,,,,,,,,,,1.0
185,tSNA_ajn-xpyYP2pm9XvOg,Bawarchi Biryanis,,,,,,,,,,,,,1.0
186,7N5SwK5tIC2CFXHpdxdCsQ,Panera Bread,1.0,6.0,,,,,,,,,,,6.0
