,Name,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
111,The Willows,28.581080000000043,-81.44572999999997,0,Furniture / Home Store,Spa,Movie Theater,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
112,Thornton Park,28.54368000000005,-81.36714999999998,1,Park,Juice Bar,Pizza Place,American Restaurant,Cocktail Bar,Restaurant,Beer Bar,Convenience Store,Burger Joint,Thai Restaurant
113,Timberleaf,28.531160000000057,-81.44802999999996,0,Home Service,Fast Food Restaurant,ATM,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Pet Store
114,North Quarter,28.556299000000024,-81.37899799999997,1,Hotel,Sandwich Place,Coffee Shop,Sushi Restaurant,Performing Arts Venue,Mexican Restaurant,Outdoor Sculpture,Bank,Art Gallery,Rental Car Location
115,Ventura,28.509200000000078,-81.30057999999997,1,Restaurant,Arts & Crafts Store,Playground,Golf Course,Outdoor Sculpture,Pawn Shop,Park,Paper / Office Supplies Store,Optical Shop,Pet Service
116,Vista East,28.47914000000003,-81.25502999999998,2,,,,,,,,,,
117,Vista Park,28.459500000000048,-81.26120999999995,2,Event Service,ATM,Pet Store,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office,Optical Shop
118,Wadeview Park,28.51800000000003,-81.37020999999999,1,Park,Concert Hall,Football Stadium,Performing Arts Venue,ATM,Pet Store,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant
119,Washington Shores,28.53174000000007,-81.42098999999996,0,Shopping Mall,Diner,German Restaurant,BBQ Joint,New American Restaurant,Nature Preserve,Nightclub,North Indian Restaurant,Office,Pet Service
120,Wedgewood Groves,28.56769674520884,-81.4652199211834,0,,,,,,,,,,
121,West Colonial,28.55233000000004,-81.43038999999999,0,Shoe Store,Grocery Store,Soccer Field,Breakfast Spot,Mobile Phone Shop,Food,Thrift / Vintage Store,Furniture / Home Store,Intersection,Rental Car Location
122,Westfield,28.541900000000055,-81.40764999999999,0,Deli / Bodega,Convenience Store,Fish Market,Baseball Stadium,Football Stadium,Sandwich Place,Intersection,Toll Booth,North Indian Restaurant,Office
123,Williamsburg,28.396060894335523,-81.44105804765074,0,Food,ATM,Moving Target,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office,Optical Shop
124,Windhover,28.487840000000062,-81.46270999999996,0,Breakfast Spot,Fast Food Restaurant,Hotpot Restaurant,Gym,Trail,Chinese Restaurant,Sporting Goods Shop,Optical Shop,Gym / Fitness Center,American Restaurant
