,ValueCount,location
261,1,"(28.56275911, -81.37300872)"
262,1,"(28.5139946, -81.40658175)"
263,1,"(28.54407414, -81.37907198)"
264,1,"(28.56313764, -81.36445089)"
265,1,"(28.5646445, -81.37289001)"
266,1,"(28.57021568, -81.42348405)"
267,1,"(28.56613258, -81.38934656)"
268,1,"(28.54488121, -81.37563204)"
269,1,"(28.51487273, -81.48565848)"
270,1,"(28.43180352, -81.30852827)"
271,1,"(28.54012123, -81.39398654)"
272,1,"(28.55346705, -81.33604054)"
273,1,"(28.56277122, -81.38931885)"
274,1,"(28.55285218, -81.40851873)"
275,1,"(28.42468194, -81.25279168)"
276,1,"(28.45045104, -81.46439666)"
277,1,"(28.55316097, -81.35773341)"
278,1,"(28.54676478, -81.38911397)"
279,1,"(28.51358515, -81.31033575)"
280,1,"(28.55299504, -81.39126754)"
281,1,"(28.60322683, -81.40643113)"
282,1,"(28.57752367, -81.38954141)"
283,1,"(28.56951214, -81.38941616)"
284,1,"(28.54214797, -81.37774654)"
285,1,"(28.53061995, -81.36414883)"
286,1,"(28.5530951, -81.37802665)"
287,1,"(28.54013886, -81.39603434)"
288,1,"(28.61269469, -81.43342933)"
289,1,"(28.55342843, -81.32874142)"
290,1,"(28.51358515, -81.31033574)"
291,1,"(28.56085522, -81.36445023)"
292,1,"(28.51640352, -81.48454607)"
293,1,"(28.51429744, -81.37634439)"
294,1,"(28.5686646, -81.31618245)"
295,1,"(28.54568254, -81.37870698)"
296,1,"(28.58040644, -81.38957769)"
297,1,"(28.51313664, -81.35935986)"
298,1,"(28.47087593, -81.31008189)"
299,1,"(28.57153651, -81.38943854)"
300,1,"(28.55355393, -81.36032848)"
301,1,"(28.54236983, -81.37904699)"
302,1,"(28.54353501, -81.37997371)"
303,1,"(28.6079148, -81.42636236)"
304,1,"(28.56913984, -81.38941151)"
305,1,"(28.51310043, -81.36115555)"
306,1,"(28.55315204, -81.35858517)"
307,1,"(28.49368539, -81.47425552)"
308,1,"(28.54407414, -81.37907197)"
309,1,"(28.53382486, -81.3971631)"
310,1,"(28.47205115, -81.4522518)"
311,1,"(28.51770637, -81.42601184)"
312,1,"(28.54153076, -81.3972642)"
313,1,"(28.54027146, -81.38125635)"
314,1,"(28.5174775, -81.4621516)"
315,1,"(28.55314281, -81.36355815)"
316,1,"(28.53740404, -81.38898117)"
317,1,"(28.54552932, -81.34781379)"
318,1,"(28.57330377, -81.37017215)"
319,1,"(28.59729377, -81.45141682)"
320,1,"(28.51887341, -81.37636526)"
321,1,"(28.51299262, -81.37118164)"
322,1,"(28.49961443, -81.45896002)"
323,1,"(28.544886557, -81.375635147)"
324,1,"(28.611277915, -81.429882385)"
325,1,"(28.46031971, -81.309125255)"
326,1,"(28.533014493, -81.418793994)"
327,1,"(28.513303024, -81.35985685)"
328,1,"(28.51309111, -81.36211515)"
329,1,"(28.5527617, -81.41658688)"
330,1,"(28.47034895, -81.4503894)"
331,1,"(28.459251846, -81.46932794)"
332,1,"(28.431808841, -81.308531359)"
333,1,"(28.488621627, -81.429041061)"
334,1,"(28.47343236, -81.4641098)"
335,1,"(28.557667701, -81.364453132)"
336,1,"(28.567857568, -81.344786931)"
337,1,"(28.507578083, -81.459004137)"
338,1,"(28.52033745, -81.31038371)"
339,1,"(28.491445139, -81.428291179)"
340,1,"(28.504774097, -81.301422371)"
341,1,"(28.477901945, -81.458122266)"
342,1,"(28.4787301, -81.47493779)"
343,1,"(28.473919417, -81.449593092)"
344,1,"(28.466815218, -81.270147993)"
